t_ms,error,left,right
104,0,100,100
204,-43,102,98
304,378,77,123
404,-60,111,89
504,-488,128,72
604,-201,102,98
704,-1,97,103
804,-81,105,95
904,-269,114,86
1004,-123,102,98
1104,4,98,102
1204,-114,107,93
1304,-68,102,98
1404,-19,100,100
1504,17,100,100
1604,3,100,100
1705,-21,101,99
1804,-157,109,91
1904,-99,103,97
2005,96,93,107
2104,32,100,100
2204,17,100,100
2305,20,100,100
2404,-61,104,96
2504,-93,105,95
2605,15,98,102
2704,24,100,100
2804,90,96,104
2904,106,96,104
3004,130,95,105
3104,6,102,98
3204,11,100,100
3304,-70,104,96
3404,-54,102,98
3504,-83,104,96
3604,-32,100,100
3704,-30,101,99
3804,2,100,100
3904,-34,102,98
4004,129,93,107
4104,-66,107,93
4204,-126,106,94
4304,-22,100,100
4404,-26,101,99
4504,-103,106,94
4604,-19,100,100
4704,-36,102,98
4804,-99,106,94
4905,-53,102,98
5004,-62,103,97
5104,44,97,103
5205,23,100,100
5304,416,77,123
5404,308,91,109
5505,79,101,99
5604,333,82,118
5704,669,57,123
5805,497,84,116
5904,167,100,100
6004,819,44,136
6104,1228,17,133
6204,253,107,93
6304,-271,119,81
6404,1060,20,150
6504,1281,17,133
6604,217,109,91
6704,-370,124,76
6804,803,32,148
6904,1082,38,142
7004,-713,150,29
7104,-335,102,98
7204,1266,-11,150
7304,1219,24,126
7404,-872,150,18
7504,-353,100,100
7604,1288,-13,150
7704,1198,40,140
7804,-945,150,14
7904,-447,103,97
8004,1262,-14,150
8105,1251,21,129
8204,-706,150,28
8304,-546,114,86
8405,1331,-20,150
8504,1238,23,127
8604,-929,150,15
8705,-884,120,60
8804,1244,-22,150
8904,1022,49,131
9005,-921,150,19
9104,-575,111,89
9204,1257,-16,150
9304,1269,19,131
9404,-447,147,53
9504,822,27,150
9604,1965,-31,150
9704,1895,-4,150
9804,1281,32,118
9904,526,90,110
10004,162,96,104
10104,711,46,134
10204,847,49,131
10304,-97,117,83
10404,-490,122,78
10504,13,85,115
10604,385,73,127
10704,154,94,106
10804,-89,103,97
10904,-323,112,88
11004,-80,94,106
11104,61,90,110
11204,45,94,106
11305,-45,99,101
11404,-174,104,96
11504,-3,93,107
11605,289,78,122
11704,112,95,105
11804,40,95,105
11905,5,96,104
12004,-10,96,104
12104,-1332,150,-5
12204,-1029,126,54
12304,622,33,147
12404,757,58,122
12504,-82,120,80
12604,-85,104,96
12704,18,98,102
12804,519,70,130
12904,117,103,97
13004,-231,116,84
13104,0,96,104
13204,-32,102,98
13304,90,95,105
13404,64,99,101
13504,-121,108,92
13604,-76,102,98
13704,11,99,101
13804,-65,104,96
13904,-150,108,92
14005,-165,107,93
14104,-225,110,90
14204,-94,101,99
14305,-202,111,89
14404,-150,105,95
14504,-8,99,101
14605,-19,101,99
14704,-90,105,95
14804,0,100,100
14905,69,97,103
15004,-56,105,95
15104,-39,102,98
15204,89,95,105
15304,206,91,109
15404,19,103,97
15504,-286,118,82
15604,-17,97,103
15704,120,94,106
15804,20,102,98
15904,-411,126,74
16004,-155,102,98
16104,-33,100,100
16204,-262,116,84
16304,-153,105,95
16404,115,92,108
16504,-82,108,92
16604,-144,108,92
16704,-18,100,100
16804,-82,106,94
16904,-50,102,98
17004,-52,103,97
17104,19,100,100
17205,18,100,100
17304,-66,105,95
17404,-162,110,90
17505,-305,116,84
17604,-160,105,95
17704,65,95,105
17805,51,100,100
17904,51,100,100
18004,51,100,100
18105,0,102,98
18204,0,101,99
18304,-17,102,98
18404,33,100,100
18504,-53,105,95
18604,-183,111,89
18704,-207,110,90
18804,-143,106,94
18904,-75,103,97
19004,579,66,134
19104,-109,120,80
19204,-137,107,93
19304,-122,106,94
19404,-99,105,95
19504,-95,105,95
19604,-64,104,96
19704,174,91,109
19804,60,101,99
19904,-107,109,91
20004,-68,104,96
