time_s,mode,left_enc,right_enc,line_error,kp,ki,kd,left_cmd,right_cmd,battery_mv
0.04,AUTO (PID),4029,3867,1.64,1.7,0.3,1.2,97,78,6519
0.19,AUTO (PID),976,1408,1.21,1.7,0.3,1.2,97,82,6511
0.34,AUTO (PID),4333,4153,1.21,1.7,0.3,1.2,97,82,6504
0.48,AUTO (PID),4492,4305,0.18,1.7,0.3,1.2,96,87,6517
0.62,AUTO (PID),4636,4447,-1.11,1.7,0.3,1.2,94,93,6460
0.77,AUTO (PID),4804,4632,-1.11,1.7,0.3,1.2,94,93,6497
0.92,AUTO (PID),4955,4792,0.3,1.7,0.3,1.2,102,89,6502
1.06,AUTO (PID),5124,4963,1.83,1.7,0.3,1.2,107,88,6493
1.21,AUTO (PID),900,1344,1.68,1.7,0.3,1.2,108,91,6502
1.36,AUTO (PID),5482,5296,1.68,1.7,0.3,1.2,108,91,6476
1.5,AUTO (PID),5666,5468,0.46,1.7,0.3,1.2,104,95,6509
1.64,AUTO (PID),5832,5635,-0.06,1.7,0.3,1.2,104,95,6517
1.78,AUTO (PID),6005,5812,-0.06,1.7,0.3,1.2,104,95,6506
1.92,AUTO (PID),6172,5981,0.29,1.7,0.3,1.2,105,94,6498
2.07,AUTO (PID),6341,6150,0.96,1.7,0.3,1.2,107,92,6515
2.22,AUTO (PID),6520,6325,0.34,1.7,0.3,1.2,105,94,5125
2.36,AUTO (PID),6716,6515,0.34,1.7,0.3,1.2,105,94,6509
2.5,AUTO (PID),6886,6683,0.84,1.7,0.3,1.2,106,93,6520
2.66,AUTO (PID),7069,6863,0.33,1.7,0.3,1.2,105,94,6509
2.8,AUTO (PID),7240,7037,3.22,1.7,0.3,1.2,114,85,6509
2.94,AUTO (PID),7427,7209,3.22,1.7,0.3,1.2,114,85,6504
3.08,AUTO (PID),7608,7364,-0.64,1.7,0.3,1.2,99,100,6506
3.23,AUTO (PID),7764,7535,-6.14,1.7,0.3,1.2,85,114,6498
3.37,AUTO (PID),7920,7744,-6.14,1.7,0.3,1.2,85,114,6498
3.51,AUTO (PID),8052,7951,-4.08,1.7,0.3,1.2,96,103,6508
3.65,AUTO (PID),8208,8153,-3.51,1.7,0.3,1.2,94,105,6506
3.8,AUTO (PID),8363,8347,-3.51,1.7,0.3,1.2,94,105,6508
3.94,AUTO (PID),8506,8540,-8.22,1.7,0.3,1.2,77,122,6506
4.08,AUTO (PID),8625,8758,-10.31,1.7,0.3,1.2,74,125,6500
4.23,AUTO (PID),2324,1336,-11.73,1.7,0.3,1.2,69,130,6504
4.39,AUTO (PID),8857,9240,-11.73,1.7,0.3,1.2,69,130,39939
4.54,AUTO (PID),2256,1184,-11.2,1.7,0.3,1.2,69,130,6500
4.68,AUTO (PID),9088,9763,-6.37,1.7,0.3,1.2,81,118,6498
4.83,AUTO (PID),9225,10012,4.18,1.7,0.3,1.2,107,92,6509
4.99,AUTO (PID),9373,10190,-0.0,1.7,0.3,1.2,-26215,-28865,6504
5.13,AUTO (PID),9560,10384,5.47,1.7,0.3,1.2,100,99,6509
5.27,AUTO (PID),9720,10563,3.89,1.7,0.3,1.2,96,103,6486
5.42,AUTO (PID),9880,10756,-0.0,1.7,0.3,1.2,-26215,2623,6509
5.57,AUTO (PID),10025,10974,-5.12,1.7,0.3,1.2,71,128,6506
5.71,AUTO (PID),10141,11220,-6.38,1.7,0.3,1.2,75,124,6504
5.85,AUTO (PID),10251,11445,1.41,1.7,0.3,1.2,99,100,6498
6.0,AUTO (PID),10387,11660,1.41,1.7,0.3,1.2,99,100,6506
6.14,AUTO (PID),10543,11842,6.46,1.7,0.3,1.2,107,92,6513
6.28,AUTO (PID),10726,12023,0.57,1.7,0.3,1.2,85,114,6506
6.42,AUTO (PID),10876,12201,-11.66,1.7,0.3,1.2,53,146,6502
6.56,AUTO (PID),11014,12431,-11.66,1.7,0.3,1.2,53,146,6487
6.71,AUTO (PID),11116,12672,-4.68,1.7,0.3,1.2,85,114,6506
6.85,AUTO (PID),11253,12897,6.14,1.7,0.3,1.2,110,89,6506
6.99,AUTO (PID),11422,13077,6.14,1.7,0.3,1.2,110,89,6508
7.14,AUTO (PID),11606,13251,7.81,1.7,0.3,1.2,106,93,6506
7.3,AUTO (PID),11773,13420,-0.0,1.7,0.3,1.2,-26215,-12993,6480
7.44,AUTO (PID),11903,13673,-20.15,1.7,0.3,1.2,29,170,6500
7.58,AUTO (PID),11979,13967,-20.15,1.7,0.3,1.2,29,170,6487
7.73,AUTO (PID),1408,536,-23.32,1.7,0.3,1.2,32,167,6489
7.88,AUTO (PID),12052,14593,-15.76,1.7,0.3,1.2,53,146,6506
8.02,AUTO (PID),12112,14887,-15.76,1.7,0.3,1.2,53,146,6498
8.16,AUTO (PID),12200,15139,6.91,1.7,0.3,1.2,112,87,6511
8.3,AUTO (PID),12377,15326,25.0,1.7,0.3,1.2,147,53,6511
8.45,AUTO (PID),12606,15444,0.76,1.7,0.3,1.2,54,145,6508
8.59,AUTO (PID),12824,15565,0.76,1.7,0.3,1.2,54,145,6476
8.73,AUTO (PID),12929,15815,25.0,1.7,0.3,1.2,162,38,6487
8.88,AUTO (PID),13149,15959,25.0,1.7,0.3,1.2,139,60,39939
9.04,AUTO (PID),13445,16037,25.0,1.7,0.3,1.2,139,60,34819
9.18,AUTO (PID),13702,16145,12.81,1.7,0.3,1.2,107,92,6511
9.32,AUTO (PID),13894,16297,-1.47,1.7,0.3,1.2,81,118,6509
9.46,AUTO (PID),14065,16489,-12.39,1.7,0.3,1.2,61,138,6502
9.6,AUTO (PID),14178,16725,-12.39,1.7,0.3,1.2,61,138,6504
9.75,AUTO (PID),14290,16975,-2.28,1.7,0.3,1.2,103,96,6508
9.89,AUTO (PID),14445,17156,2.56,1.7,0.3,1.2,106,93,6500
10.03,AUTO (PID),14618,17333,2.56,1.7,0.3,1.2,106,93,6508
10.18,AUTO (PID),14788,17504,1.2,1.7,0.3,1.2,98,101,6508
10.33,AUTO (PID),984,868,3.24,1.7,0.3,1.2,106,93,6509
10.47,AUTO (PID),15139,17882,5.68,1.7,0.3,1.2,112,87,6508
10.61,AUTO (PID),15327,18061,5.68,1.7,0.3,1.2,112,87,6508
10.76,AUTO (PID),15525,18231,4.05,1.7,0.3,1.2,106,93,6506
10.9,AUTO (PID),15699,18395,0.35,1.7,0.3,1.2,97,102,6508
11.04,AUTO (PID),15869,18573,0.35,1.7,0.3,1.2,97,102,6508
11.18,AUTO (PID),16025,18757,-1.52,1.7,0.3,1.2,96,103,6517
11.33,AUTO (PID),16181,18943,-0.13,1.7,0.3,1.2,101,98,6500
11.47,AUTO (PID),16345,19133,4.28,1.7,0.3,1.2,113,86,6509
11.61,AUTO (PID),16533,19309,4.28,1.7,0.3,1.2,113,86,6495
11.75,AUTO (PID),16712,19468,0.94,1.7,0.3,1.2,99,100,6508
11.9,AUTO (PID),16875,19648,0.12,1.7,0.3,1.2,101,98,6502
12.04,AUTO (PID),17045,19833,0.12,1.7,0.3,1.2,101,98,6504
12.18,AUTO (PID),17208,20008,1.39,1.7,0.3,1.2,105,94,6517
