t_ms,error,left,right
104,0,100,100
204,0,100,100
304,-190,111,89
404,-137,104,96
505,-171,107,93
604,-28,99,101
704,-352,120,80
805,-155,102,98
904,-39,100,100
1004,46,97,103
1105,-39,103,97
1204,-120,106,94
1304,-98,103,97
1405,38,96,104
1504,-18,101,99
1604,-203,111,89
1704,-260,111,89
1804,-158,104,96
1904,-110,103,97
2004,131,90,110
2104,-94,108,92
2204,-100,104,96
2304,-55,101,99
2404,-124,106,94
2504,-234,111,89
2604,41,93,107
2704,81,96,104
2804,-109,108,92
2904,-168,107,93
3004,42,95,105
3104,72,97,103
3204,15,100,100
3304,-127,107,93
3404,-353,118,82
3504,-71,98,102
3604,3,99,101
3705,-35,102,98
3804,-61,102,98
3904,30,97,103
4005,39,99,101
4104,59,98,102
4204,-436,127,73
4305,-6,92,108
4404,-12,100,100
4504,-71,104,96
4605,-17,100,100
4704,-65,103,97
4804,-86,103,97
4904,-199,110,90
5004,-124,103,97
5104,-127,105,95
5204,-6,98,102
5304,394,77,123
5404,172,98,102
5504,1,103,97
5604,387,77,123
5704,696,56,124
5804,276,98,102
5904,96,100,100
6004,877,40,140
6104,1041,46,134
6204,367,99,101
6304,131,100,100
6404,1102,27,150
6504,1221,24,126
6604,331,104,96
6704,-129,114,86
6804,918,33,147
6905,801,61,119
7004,-588,150,49
7104,-7,89,111
7205,1279,-1,150
7304,1081,51,129
7404,-467,149,51
7505,-12,92,108
7604,1486,-14,150
7704,1197,48,132
7805,-508,150,46
7904,-152,99,101
8004,1386,-11,150
8104,1285,26,124
8204,-549,150,42
8304,-176,100,100
8404,1309,-7,150
8504,973,58,122
8604,-807,150,23
8704,-453,111,89
8804,1273,-10,150
8904,886,63,117
9004,-858,150,21
9104,-355,104,96
9204,1592,-27,150
9304,1759,2,148
9404,1053,62,118
9504,811,63,117
9604,1667,-8,150
9704,1604,13,137
9804,453,104,96
9904,-228,122,78
10004,898,32,148
10105,1092,43,137
10204,8,121,79
10304,-526,131,69
10405,152,81,119
10504,917,39,141
10604,111,111,89
10705,-341,122,78
10804,-132,101,99
10904,210,85,115
11005,393,81,119
11104,-45,110,90
11204,-174,109,91
11304,-126,104,96
11404,16,97,103
11504,410,76,124
11604,396,85,115
11704,59,104,96
11804,-114,108,92
11904,21,97,103
12004,121,94,106
12104,-237,114,86
12204,-371,117,83
12304,19,92,108
12404,261,85,115
12504,-38,107,93
12604,21,98,102
12704,96,95,105
12804,-33,103,97
12905,-2,100,100
13004,37,98,102
13104,-6,101,99
13205,-14,100,100
13304,-54,102,98
13404,52,96,104
13505,-7,101,99
13604,36,98,102
13704,-11,101,99
13805,18,99,101
13904,-66,104,96
14004,-1,99,101
14104,-60,103,97
14204,-105,105,95
14304,-337,118,82
14404,-195,104,96
14504,-106,102,98
14604,-39,100,100
14704,-56,102,98
14804,83,94,106
14904,15,100,100
15004,43,98,102
15104,78,97,103
15204,83,97,103
15304,-13,102,98
15404,-48,102,98
15504,8,99,101
15604,-19,101,99
15704,-55,102,98
15804,-61,102,98
15904,19,98,102
16004,-47,103,97
16105,-124,106,94
16204,-86,102,98
16304,-84,103,97
16405,-95,104,96
16504,-95,103,97
16604,40,96,104
16705,59,98,102
16804,5,100,100
16904,144,92,108
17005,81,99,101
17104,1,101,99
17204,-6,100,100
17304,-19,101,99
17404,-169,109,91
17504,-144,105,95
17604,-99,103,97
17704,-137,106,94
17804,12,97,103
17904,-148,109,91
18004,4,97,103
18104,-36,102,98
18204,3,100,100
18304,117,94,106
18404,-61,106,94
18504,-78,103,97
18604,-208,110,90
18704,-287,113,87
18804,-129,102,98
18904,-63,101,99
19004,-30,100,100
19104,-43,101,99
19204,-118,106,94
19305,-33,100,100
19404,-61,103,97
19504,16,98,102
19605,-48,103,97
19704,-47,101,99
19804,-17,100,100
19905,-38,101,99
20004,-163,109,91
